feature,importance,importance_rank,business_category,business_interpretation
ENTRANCES_AVG,0.008303299,30,other,Model input feature retained for predictive ranking and reviewed through feature importance.
DEF_60_CNT_SOCIAL_CIRCLE,0.008280538,31,other,Model input feature retained for predictive ranking and reviewed through feature importance.
avg_credit_sum,0.008219349,32,other,Model input feature retained for predictive ranking and reviewed through feature importance.
annuity_income_ratio,0.008048177,33,affordability_and_exposure,"Scheduled repayment amount relative to borrower income, capturing repayment burden."
total_overdue_amount,0.007977586,34,other,Model input feature retained for predictive ranking and reviewed through feature importance.
n_prev_approved,0.007973388,35,previous_application_behavior,"Number of previously approved applications, indicating past access to credit."
days_decision_mean,0.0076566567,36,previous_application_behavior,"Average timing of prior application decisions, summarizing historical application recency."
n_closed_bureau_credits,0.007321825,37,external_bureau_history,External bureau history feature summarizing prior or active credit records.
FLOORSMAX_MEDI,0.0072086207,38,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_16,0.0071700523,39,other,Model input feature retained for predictive ranking and reviewed through feature importance.
AMT_REQ_CREDIT_BUREAU_QRT,0.0071579507,40,external_bureau_history,External bureau history feature summarizing prior or active credit records.
avg_annuity_prev,0.0071477345,41,previous_application_behavior,"Average previous annuity amount, approximating prior repayment burden."
n_overdue_bureau_records,0.0071184174,42,external_bureau_history,External bureau history feature summarizing prior or active credit records.
max_credit_prev,0.0069973567,43,previous_application_behavior,"Maximum previous credit amount, capturing peak historical credit exposure."
total_bureau_debt,0.006943794,44,external_bureau_history,External bureau history feature summarizing prior or active credit records.
YEARS_BEGINEXPLUATATION_MODE,0.0068163946,45,other,Model input feature retained for predictive ranking and reviewed through feature importance.
APARTMENTS_MODE,0.0065428987,46,other,Model input feature retained for predictive ranking and reviewed through feature importance.
DAYS_ID_PUBLISH,0.0064091915,47,other,Model input feature retained for predictive ranking and reviewed through feature importance.
REGION_RATING_CLIENT,0.0063655395,48,other,Model input feature retained for predictive ranking and reviewed through feature importance.
n_prev_refusals,0.006197139,49,previous_application_behavior,"Number of previously refused applications, a direct signal of historical credit rejection."
REG_CITY_NOT_WORK_CITY,0.0061318954,50,other,Model input feature retained for predictive ranking and reviewed through feature importance.
credit_income_ratio,0.0058984403,51,affordability_and_exposure,"Credit amount relative to borrower income, capturing loan-to-income pressure."
avg_credit_prev,0.005842254,52,previous_application_behavior,"Average previous credit amount, reflecting typical historical borrowing size."
active_credit_ratio,0.005800754,53,affordability_and_exposure,"Amount-based feature related to borrower affordability, income, credit size, or exposure."
avg_days_credit_update,0.0053178254,54,other,Model input feature retained for predictive ranking and reviewed through feature importance.
AMT_REQ_CREDIT_BUREAU_WEEK,0.005306072,55,external_bureau_history,External bureau history feature summarizing prior or active credit records.
YEARS_BUILD_AVG,0.005272497,56,other,Model input feature retained for predictive ranking and reviewed through feature importance.
CNT_FAM_MEMBERS,0.00506329,57,other,Model input feature retained for predictive ranking and reviewed through feature importance.
REGION_POPULATION_RELATIVE,0.0049275267,58,other,Model input feature retained for predictive ranking and reviewed through feature importance.
AMT_REQ_CREDIT_BUREAU_DAY,0.0048998822,59,external_bureau_history,External bureau history feature summarizing prior or active credit records.
LIVINGAPARTMENTS_AVG,0.004829091,60,other,Model input feature retained for predictive ranking and reviewed through feature importance.
n_prev_applications,0.004704998,61,previous_application_behavior,"Total number of previous applications, capturing historical credit demand."
AMT_REQ_CREDIT_BUREAU_YEAR,0.004631316,62,external_bureau_history,External bureau history feature summarizing prior or active credit records.
DAYS_LAST_PHONE_CHANGE,0.0046092393,63,other,Model input feature retained for predictive ranking and reviewed through feature importance.
DAYS_REGISTRATION,0.004597402,64,other,Model input feature retained for predictive ranking and reviewed through feature importance.
OBS_60_CNT_SOCIAL_CIRCLE,0.004446657,65,other,Model input feature retained for predictive ranking and reviewed through feature importance.
COMMONAREA_AVG,0.0044017914,66,other,Model input feature retained for predictive ranking and reviewed through feature importance.
BASEMENTAREA_MEDI,0.004356545,67,other,Model input feature retained for predictive ranking and reviewed through feature importance.
COMMONAREA_MODE,0.004350401,68,other,Model input feature retained for predictive ranking and reviewed through feature importance.
ENTRANCES_MODE,0.0043182536,69,other,Model input feature retained for predictive ranking and reviewed through feature importance.
last_application_days,0.004313161,70,previous_application_behavior,Most recent previous application timing; values closer to 0 indicate more recent credit seeking.
LIVINGAREA_AVG,0.0042189923,71,other,Model input feature retained for predictive ranking and reviewed through feature importance.
AMT_REQ_CREDIT_BUREAU_MON,0.0041690385,72,external_bureau_history,External bureau history feature summarizing prior or active credit records.
OBS_30_CNT_SOCIAL_CIRCLE,0.004041635,73,other,Model input feature retained for predictive ranking and reviewed through feature importance.
bureau_record_count,0.0039775805,74,external_bureau_history,External bureau history feature summarizing prior or active credit records.
APARTMENTS_AVG,0.00393055,75,other,Model input feature retained for predictive ranking and reviewed through feature importance.
NONLIVINGAREA_AVG,0.003879057,76,other,Model input feature retained for predictive ranking and reviewed through feature importance.
income_per_family_member,0.0038451087,77,affordability_and_exposure,"Borrower income adjusted by family size, capturing household income capacity."
AMT_INCOME_TOTAL,0.0037743768,78,affordability_and_exposure,"Amount-based feature related to borrower affordability, income, credit size, or exposure."
NONLIVINGAPARTMENTS_MODE,0.0037699798,79,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_6,0.0036446345,80,other,Model input feature retained for predictive ranking and reviewed through feature importance.
YEARS_BEGINEXPLUATATION_AVG,0.0035398183,81,other,Model input feature retained for predictive ranking and reviewed through feature importance.
HOUR_APPR_PROCESS_START,0.0034015025,82,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLOORSMIN_AVG,0.0032883852,83,other,Model input feature retained for predictive ranking and reviewed through feature importance.
LIVINGAREA_MODE,0.0031964257,84,other,Model input feature retained for predictive ranking and reviewed through feature importance.
LANDAREA_MEDI,0.002702113,85,other,Model input feature retained for predictive ranking and reviewed through feature importance.
ENTRANCES_MEDI,0.0026352415,86,other,Model input feature retained for predictive ranking and reviewed through feature importance.
LIVINGAPARTMENTS_MODE,0.0024996588,87,other,Model input feature retained for predictive ranking and reviewed through feature importance.
max_credit_day_overdue,0.0024970649,88,other,Model input feature retained for predictive ranking and reviewed through feature importance.
NONLIVINGAPARTMENTS_AVG,0.0023728793,89,other,Model input feature retained for predictive ranking and reviewed through feature importance.
BASEMENTAREA_AVG,0.002349641,90,other,Model input feature retained for predictive ranking and reviewed through feature importance.
LANDAREA_AVG,0.0021434466,91,other,Model input feature retained for predictive ranking and reviewed through feature importance.
LANDAREA_MODE,0.0020037,92,other,Model input feature retained for predictive ranking and reviewed through feature importance.
NONLIVINGAREA_MODE,0.0016075621,93,other,Model input feature retained for predictive ranking and reviewed through feature importance.
CNT_CHILDREN,0.0,94,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_PHONE,0.0,95,other,Model input feature retained for predictive ranking and reviewed through feature importance.
LIVE_CITY_NOT_WORK_CITY,0.0,96,other,Model input feature retained for predictive ranking and reviewed through feature importance.
LIVE_REGION_NOT_WORK_REGION,0.0,97,other,Model input feature retained for predictive ranking and reviewed through feature importance.
REG_REGION_NOT_LIVE_REGION,0.0,98,other,Model input feature retained for predictive ranking and reviewed through feature importance.
REG_REGION_NOT_WORK_REGION,0.0,99,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLOORSMIN_MEDI,0.0,100,other,Model input feature retained for predictive ranking and reviewed through feature importance.
ELEVATORS_MEDI,0.0,101,other,Model input feature retained for predictive ranking and reviewed through feature importance.
YEARS_BEGINEXPLUATATION_MEDI,0.0,102,other,Model input feature retained for predictive ranking and reviewed through feature importance.
COMMONAREA_MEDI,0.0,103,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLOORSMAX_MODE,0.0,104,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLOORSMIN_MODE,0.0,105,other,Model input feature retained for predictive ranking and reviewed through feature importance.
YEARS_BUILD_MODE,0.0,106,other,Model input feature retained for predictive ranking and reviewed through feature importance.
ELEVATORS_MODE,0.0,107,other,Model input feature retained for predictive ranking and reviewed through feature importance.
BASEMENTAREA_MODE,0.0,108,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_EMAIL,0.0,109,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_MOBIL,0.0,110,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_CONT_MOBILE,0.0,111,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_21,0.0,112,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_20,0.0,113,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_19,0.0,114,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_18,0.0,115,other,Model input feature retained for predictive ranking and reviewed through feature importance.
NONLIVINGAPARTMENTS_MEDI,0.0,116,other,Model input feature retained for predictive ranking and reviewed through feature importance.
LIVINGAPARTMENTS_MEDI,0.0,117,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_2,0.0,118,other,Model input feature retained for predictive ranking and reviewed through feature importance.
NONLIVINGAREA_MEDI,0.0,119,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_15,0.0,120,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_17,0.0,121,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_13,0.0,122,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_14,0.0,123,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_10,0.0,124,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_9,0.0,125,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_12,0.0,126,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_11,0.0,127,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_8,0.0,128,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_7,0.0,129,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_4,0.0,130,other,Model input feature retained for predictive ranking and reviewed through feature importance.
FLAG_DOCUMENT_5,0.0,131,other,Model input feature retained for predictive ranking and reviewed through feature importance.
